CMDLINE /opt/conda/bin/python mainlp.py
MEM 2307.054688 1725060071.9084
MEM 2757.054688 1725060072.0088
MEM 3149.054688 1725060072.1092
MEM 3483.054688 1725060072.2096
MEM 3693.054688 1725060072.3100
MEM 2237.433594 1725060072.4106
MEM 2765.433594 1725060072.5111
MEM 3385.433594 1725060072.6116
MEM 3795.433594 1725060072.7120
MEM 1953.378906 1725060072.8124
MEM 109.757812 1725060072.9128
MEM 645.812500 1725060073.0134
MEM 1251.812500 1725060073.1139
MEM 1965.054688 1725060073.2143
MEM 2439.054688 1725060073.3148
MEM 2901.054688 1725060073.4152
MEM 3311.054688 1725060073.5157
MEM 3721.054688 1725060073.6161
MEM 2453.433594 1725060073.7166
MEM 3093.433594 1725060073.8171
MEM 3749.433594 1725060073.9177
MEM 3795.433594 1725060074.0182
MEM 1953.378906 1725060074.1186
MEM 437.812500 1725060074.2190
MEM 997.812500 1725060074.3194
MEM 1581.812500 1725060074.4199
MEM 2141.054688 1725060074.5202
MEM 2593.054688 1725060074.6206
MEM 3061.054688 1725060074.7210
MEM 3521.054688 1725060074.8214
MEM 2171.433594 1725060074.9218
MEM 2747.433594 1725060075.0223
MEM 3317.433594 1725060075.1228
MEM 3795.433594 1725060075.2233
MEM 1953.378906 1725060075.3237
MEM 109.757812 1725060075.4241
MEM 521.812500 1725060075.5245
MEM 1109.812500 1725060075.6250
MEM 1775.812500 1725060075.7254
MEM 2289.054688 1725060075.8264
MEM 2697.054688 1725060075.9268
MEM 2957.054688 1725060076.0274
MEM 3265.054688 1725060076.1281
MEM 3423.054688 1725060076.2287
MEM 3633.054688 1725060076.3292
MEM 3761.054688 1725060076.4296
MEM 2191.433594 1725060076.5301
MEM 2693.433594 1725060076.6305
MEM 3263.433594 1725060076.7310
MEM 3795.433594 1725060076.8314
MEM 1953.378906 1725060076.9318
MEM 293.812500 1725060077.0323
MEM 765.812500 1725060077.1314
MEM 1303.812500 1725060077.2319
MEM 1893.812500 1725060077.3325
MEM 2301.054688 1725060077.4329
MEM 2683.054688 1725060077.5334
MEM 3057.054688 1725060077.6339
MEM 3461.054688 1725060077.7344
MEM 1971.378906 1725060077.8349
